route_type, route_name,route_id
2,Lakes Entrance - Lakes Entrance North,5834
2,Lakes Entrance - Lakes Entrance East,5837
2,Echuca - Cunningham Downs Retirement Village,5841
2,Ararat to Stawell via Western Hwy,5843
2,Stawell to Horsham via Western Hwy,5844
2,Stawell to Stawell via Pomonal and Halls Gap,5845
2,Echuca - 24 Lane,5846
2,Roxburgh Park - Pascoe Vale via Meadow Heights & Broadmeadows & Glenroy,6572
2,Maffra town service,6647
2,Mildura - Ouyen - Sea Lake,6648
2,Kerang - Echuca via Cohuna,6649
2,Seymour - Seymour North-East PM peak,6716
2,Portland - South,7318
2,Kyneton - Kyneton North,7395
2,Caroline Springs - Highpoint SC,7440
2,Sunshine - City - Gardenvale,7441
2,Yarraville - Highpoint SC,7442
2,The Pines - Nunawading,7445
2,Box Hill - Doncaster SC via Middleborough Rd,7446
2,Southland Shopping Centre - St Kilda Station,7453
2,Southland SC - St Kilda Station,7455
2,Southland SC - St Kilda Station,7456
2,Manningham Loop via Templestowe Village SC & Doncaster SC,7461
2,Manningham Loop via Tunstall Square SC & Doncaster SC,7462
2,Chelsea - Airport West (SMARTBUS Service),7464
2,Box Hill - Greensborough via Doncaster SC,7522
2,Frankston - Melbourne Airport (SMARTBUS Service),7531
2,Pakenham Station - Cardinia Road Station,7613
2,Pakenham Station - Fountain Gate Shopping Centre via Lakeside & Beaconsfield,7617
2,Horsham - Williams Road South Bank,7620
2,Horsham - Natimuk Road,7624
2,Seymour - Seymour East,7627
2,Frankston - Osborne via Mt Eliza & Mornington,7700
2,Cobram Town Service,7703
2,Wodonga - East Wodonga,7723
2,Wodonga - South Wodonga,7726
2,Yarrawonga and Mulwala FlexiRide Service,7762
2,Warrnambool - Dennington,7765
2,Warrnambool - Gateway Plaza via Centro,7768
2,Warrnambool - Deakin University via Gateway Plaza,7771
2,Warrnambool - Tower Square via Lilydale Heights Plaza,7772
2,Warrnambool - Lake Pertobe Loop,7776
2,Warrnambool - Merrivale,7779
2,Warrnambool - Port Fairy,7782
2,Warrnambool - Allansford,7785
2,Colac to Elliminyt,7788
2,Colac to Colac East,7791
2,Frankston - Mount Martha via Mt Eliza & Mornington,7797
2,Warrandyte - Ringwood Station via Croydon & Warrandyte Rd & Eastland SC,7891
2,Timboon - Camperdown via Cobden,7953
2,Elsternwick - Clifton Hill via St Kilda,8074
2,Doncaster Park & Ride - Box Hill via Union Road,8080
2,Doncaster SC - The Pines SC via Templestowe,8084
2,Airport West SC - Melbourne Airport via South Centre Rd,8095
2,City (Queen St) - Bulleen,8114
2,Garden City - City (Queen Victoria Market),8118
2,Altona North - City (Queen Victoria Market),8122
2,Mitcham - Ringwood via Ringwood North,8125
2,Box Hill - Mitcham via Blackburn North,8128
2,Ringwood - Croydon Loop,8132
2,City (Queen St) - La Trobe University,8135
2,City (Queen St) - Northland SC,8139
2,City - Doncaster SC via Kew Junction,8142
2,City - Fishermans Bend via Williamstown Road,8174
2,City - Fishermans Bend via Lorimer Street,8177
2,Airport West SC - Sunbury Station via Melbourne Airport,8185
2,Werribee Station - Westleigh Gardens via Geelong Rd,8224
2,Bacchus Marsh - Hillview Estate via Bacchus Marsh Station,8229
2,Bacchus Marsh Station - Telford Park via Bacchus Marsh,8232
2,Bacchus Marsh Station - Darley via Bacchus Marsh,8233
2,Doncaster Park & Ride - Camberwell via North Balwyn,8243
2,Hamilton North via Kent Road,8246
2,Hamilton East via Ballarat Road,8250
2,Garden City - Queen Victoria Market via City,8263
2,Sunshine South - Gardenvale,8272
2,Templestowe - Deakin University,8275
2,Airport West SC - Melbourne Airport via Melrose Drive,8302
2,Sunshine Station - Sunshine West via Forrest St,8306
2,Sunshine Station - Sunshine West via Wright St,8307
2,Wangaratta - Yarrunga via Mason Street,8317
2,Benalla - Benalla West,8361
2,Benalla - Benalla East,8362
2,Airport West SC - Sunbury Station via Melbourne Airport,8365
2,Colac - Marengo via Apollo Bay,8373
2,Box Hill - Ringwood via Park Orchards,8399
2,Laverton Station - Sanctuary Lakes via Sanctuary Lakes SC,8430
2,Alexandra - Marysville via Taggerty & Buxton,8435
2,Werribee Station - Tarneit Station via Werribee Plaza SC,8452
2,Werribee Station - Wyndham Vale Station via Ballan Rd,8457
2,Werribee Station - Tarneit Station via Tarneit Rd,8462
2,Werribee Station - Hoppers Crossing Station via Werribee Plaza SC,8482
2,Hoppers Crossing Station - Tarneit Station via Werribee Plaza SC,8483
2,Hoppers Crossing Station - Wyndham Vale Station via Werribee Plaza SC,8484
2,Williams Landing Station - Tarneit Station via Sayers Rd,8485
2,Hoppers Crossing Station - Tarneit Station via Morris Rd,8486
2,Werribee Station - Wyndham Vale Station via Black Forest Rd,8487
2,Williams Landing Station - Werribee Station via Princes Hwy,8488
2,Hoppers Crossing Station - Werribee Station via Werribee Plaza SC,8489
2,Williams Landing Station - Tarneit Station via Westmeadows La,8490
2,Williams Landing Station -  Point Cook South via Boardwalk Bvd,8493
2,Williams Landing Station - Saltwater Coast Estate via Sanctuary Lakes SC,8494
2,Werribee Station - Manor Lakes via Greaves St,8507
2,Laverton Station - Hoppers Crossing Station via Dunnings Rd,8508
2,Williams Landing Station - Point Cook South via Alamanda Bvd,8514
2,Werribee Station - Southern Loop via South Werribee,8517
2,Huntly - Kangaroo Flat via Bendigo Station,8561
2,Bendigo Station - La Trobe University via Strathdale,8564
2,Bendigo Station - Spring Gully via La Trobe University,8565
2,Bendigo Station - Golden Square via Quarry Hill,8567
2,Bendigo Station - Strathfieldsaye via Kennington,8568
2,Bendigo Station - Epsom Station via Goynes Rd,8569
2,Bendigo Station - Eaglehawk via Jackass Flat,8570
2,Bendigo Station - Eaglehawk via Eaglehawk Rd,8571
2,Bendigo Station - Maiden Gully via Calder Hwy,8572
2,Geelong Station - Leopold,8579
2,Lara Station -  Lara South - Corio SC,8582
2,City - The Pines SC via Eastern Fwy (SMARTBUS Service),8590
2,City - Mitcham via Doncaster Rd (SMARTBUS service),8591
2,City - Warrandyte via The Pines SC (SMARTBUS service),8596
2,Geelong Station - Corio SC,8599
2,City - The Pines SC via Eastern Fwy & Templestowe (SMARTBUS Service),8602
2,City - La Trobe University via Eastern Fwy,8606
2,Geelong Station - North Shore Station via Anakie Rd,8611
2,Corio SC - North Shore Station,8614
2,City - Deep Creek,8615
2,Geelong Station - North Geelong Station via Newtown,8618
2,Geelong Station - Bell Post Hill,8621
2,Geelong Station - Whittington via Newcomb,8624
2,Geelong Station - St Albans Park,8627
2,Geelong Station - Deakin University via Breakwater,8630
2,Geelong Station - Deakin University via Highton,8639
2,Geelong Station - Jan Juc via Marshall Station and Fischer St,8645
2,Geelong Station - Jan Juc via Marshall Station,8648
2,Geelong Station - Ocean Grove via Barwon Heads,8651
2,Geelong Station - Queenscliff via Ocean Grove,8654
2,Geelong Station - St Leonards via Portarlington,8657
2,Geelong Station - Drysdale via Clifton Springs,8660
2,City - Donvale via Reynolds Rd,8677
2,City - The Pines SC via Eastern Fwy,8680
2,City - Ringwood North via Park Rd,8681
2,City - Doncaster SC via Belmore Rd and Eastern Fwy,8682
2,City - Box Hill via Belmore Rd and Eastern Fwy,8700
2,Werribee Station - Werribee South via Werribee Park Mansion,8708
2,Sunshine Station - Watergardens Station via Deer Park,8710
2,Geelong - Bannockburn,8714
2,North Shore Station - Deakin University via Geelong City,8765
2,Thomastown via West Lalor (clockwise loop),8871
2,Thomastown via West Lalor (anti clockwise loop),8878
2,Thomastown via Darebin Drive,8879
2,Preston - West Preston via Reservoir,8883
2,Reservoir via North West Reservoir,8887
2,Eastland - Chadstone via Vermont South & Glen Waverley & Oakleigh,8912
2,Dandenong - Chadstone via North Dandenong & Oakleigh,8922
2,Dandenong - Chadstone via Princes Highway & Oakleigh,8923
2,Dandenong - Chadstone via Mulgrave & Oakleigh,8924
2,Altona - Mordialloc (SMARTBUS Service),8925
2,Dandenong - Chadstone via Wheelers Hill & Oakleigh,8934
2,Bendigo Station - Spring Gully via Carpenter St,8983
2,Brunswick West - Barkly Square SC via Hope St & Sydney Rd,8988
2,Moonee Ponds - Plumpton via Keilor & Watergardens,10827
2,Epping Station - Wollert East via Hayston Bvd,10830
2,Lara Station - Lara West,10839
2,Epping Station - Wollert via Epping Plaza SC,10842
2,Geelong Station - Deakin University via Grovedale,10846
2,Geelong Station - Deakin University via South Valley Rd,10854
2,Sorrento - Safety Beach,10861
2,Moonee Ponds - Melbourne University via Parkville Gardens,10863
2,Box Hill Station - Deakin University,10864
2,Laverton Station - Footscray via Altona Meadows & Altona & Millers Rd,10900
2,Laverton Station - Footscray via Altona Meadows & Altona & Mills St,10903
2,Laverton Station - Footscray via Geelong Rd,10917
2,Bendigo - Goornong,10923
2,Castlemaine - Maldon,10924
2,Footscray - Moonee Ponds via Newmarket,10927
2,Epping Plaza SC - Northland SC via Keon Park,10933
2,Epping - Northland via Lalor & Thomastown & Reservoir,10937
2,North East Reservoir - Northcote Plaza via High Street,10940
2,Reservoir Station - La Trobe University (Bundoora Campus),10952
2,Macleod - Pascoe Vale via La Trobe University,10955
2,Wollert West - Thomastown Station via Epping Station,10958
2,Yarraville to Highpoint SC via Footscray,10964
2,Bendigo Station - Kangaroo Flat via Golden Square,10967
2,Ouyen - Pinnaroo via Mallee Hwy,10980
2,Northcote - Regent via Northland,10990
2,Epping Plaza SC - South Morang Station via Findon Rd,10994
2,Kalkee Retirement Village - Belmont Village SC,11003
2,Rochester Town Service,11096
2,Kinglake - Whittlesea via Humevale,11109
2,Palisades - University Hill,11112
2,Thomastown - RMIT Bundoora,11118
2,Laverton - Footscray via Altona Meadows & Altona & Altona Gate SC,11121
2,Mernda Station - Bundoora RMIT,11205
2,Woodend FlexiRide Service,11286
2,Greenvale Gardens  - Roxburgh Park via Greenvale Village SC,11289
2,Bendigo Station - East Bendigo via Strickland Rd,11290
2,Frankston - Langwarrin via Langwarrin North,11291
2,Frankston - Langwarrin via Langwarrin South,11296
2,Frankston Station - Cranbourne Station,11297
2,Cranbourne Station - Pearcedale,11300
2,Cranbourne Station - Clyde,11303
2,Cranbourne Park SC - Selandra Rise,11304
2,Merinda Park Station - The Avenue Village SC,11305
2,Dandenong Station - Endeavour Hills via Endeavour Hills SC,11306
2,Berwick Station - The Avenue Village SC,11307
2,Endeavour Hills SC - Hampton Park SC via Hallam Station,11308
2,Dandenong Station - Lynbrook Station,11309
2,Fountain Gate SC - Lynbrook Station via Hallam Station,11313
2,Cranbourne East - Cranbourne Station via Cranbourne Park SC,11318
2,The Avenue Village SC - Berwick Station,11319
2,Mildura Central SC - Mildura South - Mildura Central SC,11320
2,St Albans Station - Brimbank Central SC via Cairnlea,11323
2,Mildura City - Mildura Central SC,11326
2,Mildura Central SC - Mildura City,11329
2,Casey Central SC - Dandenong Station via Hampton Park SC,11337
2,Bendigo - Shepparton via Kyabram,11342
2,Ballarat Station - Wendouree Station via Howitt St,11354
2,Ballarat Station - Wendouree Station via Forest St,11357
2,Ballarat Station - Invermay Park,11360
2,Ballarat Station - Black Hill,11363
2,Ballarat Station - Brown Hill,11366
2,Ballarat Station - Canadian,11369
2,Ballarat Station - Buninyong via Federation University,11372
2,Ballarat Station - Federation University via Sebastopol,11375
2,Ballarat Station - Mount Pleasant,11378
2,Ballarat Station - Sebastopol,11381
2,Ballarat Station - Delacombe,11384
2,Ballarat Station - Alfredton,11387
2,Ballarat Station - Creswick,11390
